Skip to content
logpai
loghub
Repository navigation
Code
Issues
2
 (2)
Pull requests
Discussions
Actions
Wiki
Security
Insights
loghub/Apache
/Apache_2k.log_structured.csv
Go to file
t
zhujiem
zhujiem
Add log templates
374038f
 · 
3 years ago

Preview

Code

Blame
Search this file
LineId	Time	Level	Content	EventId	EventTemplate
1	Sun Dec 04 04:47:44 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
2	Sun Dec 04 04:47:44 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
3	Sun Dec 04 04:51:08 2005	notice	jk2_init() Found child 6725 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
4	Sun Dec 04 04:51:09 2005	notice	jk2_init() Found child 6726 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
5	Sun Dec 04 04:51:09 2005	notice	jk2_init() Found child 6728 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
6	Sun Dec 04 04:51:14 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
7	Sun Dec 04 04:51:14 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
8	Sun Dec 04 04:51:14 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
9	Sun Dec 04 04:51:18 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
10	Sun Dec 04 04:51:18 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
11	Sun Dec 04 04:51:18 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
12	Sun Dec 04 04:51:37 2005	notice	jk2_init() Found child 6736 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
13	Sun Dec 04 04:51:38 2005	notice	jk2_init() Found child 6733 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
14	Sun Dec 04 04:51:38 2005	notice	jk2_init() Found child 6734 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
15	Sun Dec 04 04:51:52 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
16	Sun Dec 04 04:51:52 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
17	Sun Dec 04 04:51:55 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
18	Sun Dec 04 04:52:04 2005	notice	jk2_init() Found child 6738 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
19	Sun Dec 04 04:52:04 2005	notice	jk2_init() Found child 6741 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
20	Sun Dec 04 04:52:05 2005	notice	jk2_init() Found child 6740 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
21	Sun Dec 04 04:52:05 2005	notice	jk2_init() Found child 6737 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
22	Sun Dec 04 04:52:12 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
23	Sun Dec 04 04:52:12 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
24	Sun Dec 04 04:52:12 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
25	Sun Dec 04 04:52:15 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
26	Sun Dec 04 04:52:15 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
27	Sun Dec 04 04:52:15 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
28	Sun Dec 04 04:52:36 2005	notice	jk2_init() Found child 6748 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
29	Sun Dec 04 04:52:36 2005	notice	jk2_init() Found child 6744 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
30	Sun Dec 04 04:52:36 2005	notice	jk2_init() Found child 6745 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
31	Sun Dec 04 04:52:49 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
32	Sun Dec 04 04:52:49 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
33	Sun Dec 04 04:52:52 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
34	Sun Dec 04 04:52:52 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
35	Sun Dec 04 04:53:05 2005	notice	jk2_init() Found child 6750 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
36	Sun Dec 04 04:53:05 2005	notice	jk2_init() Found child 6751 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
37	Sun Dec 04 04:53:05 2005	notice	jk2_init() Found child 6752 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
38	Sun Dec 04 04:53:15 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
39	Sun Dec 04 04:53:15 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
40	Sun Dec 04 04:53:16 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
41	Sun Dec 04 04:53:16 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
42	Sun Dec 04 04:53:29 2005	notice	jk2_init() Found child 6754 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
43	Sun Dec 04 04:53:29 2005	notice	jk2_init() Found child 6755 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
44	Sun Dec 04 04:53:40 2005	notice	jk2_init() Found child 6756 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
45	Sun Dec 04 04:53:51 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
46	Sun Dec 04 04:53:54 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
47	Sun Dec 04 04:54:15 2005	notice	jk2_init() Found child 6763 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
48	Sun Dec 04 04:54:15 2005	notice	jk2_init() Found child 6766 in scoreboard slot 6	E1	jk2_init() Found child <*> in scoreboard slot <*>
49	Sun Dec 04 04:54:15 2005	notice	jk2_init() Found child 6767 in scoreboard slot 7	E1	jk2_init() Found child <*> in scoreboard slot <*>
50	Sun Dec 04 04:54:15 2005	notice	jk2_init() Found child 6765 in scoreboard slot 8	E1	jk2_init() Found child <*> in scoreboard slot <*>
51	Sun Dec 04 04:54:18 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
52	Sun Dec 04 04:54:18 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
53	Sun Dec 04 04:54:18 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
54	Sun Dec 04 04:54:18 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
55	Sun Dec 04 04:54:18 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
56	Sun Dec 04 04:54:18 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
57	Sun Dec 04 04:54:18 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
58	Sun Dec 04 04:54:18 2005	error	mod_jk child workerEnv in error state 7	E3	mod_jk child workerEnv in error state <*>
59	Sun Dec 04 04:54:20 2005	notice	jk2_init() Found child 6768 in scoreboard slot 9	E1	jk2_init() Found child <*> in scoreboard slot <*>
60	Sun Dec 04 04:54:20 2005	notice	workerEnv.init() ok /etc/httpd/conf/workers2.properties	E2	workerEnv.init() ok <*>
61	Sun Dec 04 04:54:20 2005	error	mod_jk child workerEnv in error state 6	E3	mod_jk child workerEnv in error state <*>
62	Sun Dec 04 04:56:52 2005	notice	jk2_init() Found child 8527 in scoreboard slot 10	E1	jk2_init() Found child <*> in scoreboard slot <*>
